indicator,date,rate
open,2022-01-28 16:01:00,32.77
high,2022-01-28 16:01:00,32.77
low,2022-01-28 16:01:00,32.77
close,2022-01-28 16:01:00,32.77
open,2022-01-28 16:00:00,32.81
high,2022-01-28 16:00:00,32.82
low,2022-01-28 16:00:00,32.74
close,2022-01-28 16:00:00,32.78
open,2022-01-28 15:59:00,32.79
high,2022-01-28 15:59:00,32.83
low,2022-01-28 15:59:00,32.76
close,2022-01-28 15:59:00,32.82
open,2022-01-28 15:58:00,32.79
high,2022-01-28 15:58:00,32.81
low,2022-01-28 15:58:00,32.76
close,2022-01-28 15:58:00,32.79
open,2022-01-28 15:57:00,32.72
high,2022-01-28 15:57:00,32.79
low,2022-01-28 15:57:00,32.72
close,2022-01-28 15:57:00,32.79
open,2022-01-28 15:56:00,32.73
high,2022-01-28 15:56:00,32.76
low,2022-01-28 15:56:00,32.72
close,2022-01-28 15:56:00,32.73
open,2022-01-28 15:55:00,32.7
high,2022-01-28 15:55:00,32.73
low,2022-01-28 15:55:00,32.7
close,2022-01-28 15:55:00,32.73
open,2022-01-28 15:54:00,32.7
high,2022-01-28 15:54:00,32.7
low,2022-01-28 15:54:00,32.69
close,2022-01-28 15:54:00,32.695
open,2022-01-28 15:53:00,32.72
high,2022-01-28 15:53:00,32.72
low,2022-01-28 15:53:00,32.69
close,2022-01-28 15:53:00,32.7
open,2022-01-28 15:52:00,32.69
high,2022-01-28 15:52:00,32.72
low,2022-01-28 15:52:00,32.68
close,2022-01-28 15:52:00,32.72
open,2022-01-28 15:51:00,32.66
high,2022-01-28 15:51:00,32.7
low,2022-01-28 15:51:00,32.66
close,2022-01-28 15:51:00,32.69
open,2022-01-28 15:50:00,32.64
high,2022-01-28 15:50:00,32.65
low,2022-01-28 15:50:00,32.63
close,2022-01-28 15:50:00,32.65
open,2022-01-28 15:49:00,32.63
high,2022-01-28 15:49:00,32.64
low,2022-01-28 15:49:00,32.63
close,2022-01-28 15:49:00,32.64
open,2022-01-28 15:48:00,32.63
high,2022-01-28 15:48:00,32.63
low,2022-01-28 15:48:00,32.62
close,2022-01-28 15:48:00,32.62
open,2022-01-28 15:47:00,32.62
high,2022-01-28 15:47:00,32.64
low,2022-01-28 15:47:00,32.62
close,2022-01-28 15:47:00,32.64
open,2022-01-28 15:46:00,32.6399
high,2022-01-28 15:46:00,32.6399
low,2022-01-28 15:46:00,32.62
close,2022-01-28 15:46:00,32.62
open,2022-01-28 15:45:00,32.62
high,2022-01-28 15:45:00,32.64
low,2022-01-28 15:45:00,32.62
close,2022-01-28 15:45:00,32.63
open,2022-01-28 15:44:00,32.63
